"", ""
"Allow comments to wish item", "Allow comments to wish item"
"Telephone Settings", "Telephone Settings"
"Set default phone ""mask""", "Set default phone ""mask"""
"for example +380 dd ddd-dd-dd, customer can set his telephone number as +380 97 777-77-77", "for example +380 dd ddd-dd-dd, customer can set his telephone number as +380 97 777-77-77"
"Enable Telephone field ""mask""", "Enable Telephone field ""mask"""
"helps customer enter valid telephone number by input ""mask""", "helps customer enter valid telephone number by input ""mask"""
"Social Accounts", "Social Accounts"
"Social Account Links", "Social Account Links"
"facebook", "Facebook"
"vk", "VKontakte"
"tweeter", "Tweeter"
"googleplus", "Google Plus"
"youtube", "Youtube"
"vimeo", "Vimeo"
"instagram", "Instagram"
"pinterest", "Pinterest"
"linkedin", "LinkedIn"
"renren", "Renren"
"flickr", "Flickr"
"tumblr", "Tumblr"
"blogger", "Blogger"
"you have no saved shipping address yet", "you have no saved shipping address yet"
"%s was added to your shopping cart.","%s was added to your shopping cart."
"List is cleared", "List is cleared"
