"",""
"Action","Action"
"Add Category Image","Add Category Image"
"An error occurred while updating the category image.","An error occurred while updating the category image."
"Are you sure?","Are you sure?"
"Associated categories","Associated categories"
"CSV","CSV"
"Category Image was saved","Category Image was saved"
"Category Image was successfully deleted.","Category Image was successfully deleted."
"Category Image was successfully saved","Category Image was successfully saved"
"Category Image","Category Image"
"Change status","Change status"
"Could not find category image to delete.","Could not find category image to delete."
"Created at","Created at"
"Delete Category Image","Delete Category Image"
"Delete","Delete"
"Disabled","Disabled"
"Edit Category Image '%s'","Edit Category Image '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving category image","Error saving category image"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select category image to delete.","Please select category image to delete."
"Please select category image.","Please select category image."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Category Image","Save Category Image"
"Status","Status"
"Store views","Store views"
"The category image has been deleted.","The category image has been deleted."
"There was a problem saving the category image.","There was a problem saving the category image."
"There was an error deleting category image.","There was an error deleting category image."
"There was an error updating category image.","There was an error updating category image."
"This category image no longer exists.","This category image no longer exists."
"Total of %d category image were successfully deleted.","Total of %d category image were successfully deleted."
"Total of %d category image were successfully updated.","Total of %d category image were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find category image to save.","Unable to find category image to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
"category image SEO","category image SEO"
"category image name","category image name"
"category image url","category image url"
"category image","category image"
"i'ts category image","i'ts category image"
"it's category image name","it's category image name"
"it's category image url","it's category image url"