"Leave your phone number and name. We will contact you shortly.", "Leave your phone number and name. We will contact you shortly."
"Telephone", "Telephone"
"Send", "Send"
"loading ...", "loading ..."
"Callback", "Callback"
"You failed to enter phone.", "You failed to enter phone."
"Thank you for your request. We'll call you back shortly.", "Thank you for your request. We'll call you back shortly."
"Please make sure to fill in all fields", "Please make sure to fill in all fields"
'Sorry, something went wrong...', "Sorry, something went wrong..."
"Item does not exist.", "Item does not exist."
"Callback was successfully saved", "Callback was successfully saved"
"Item was successfully removed", "Item was successfully deleted"
"Item(s) was successfully removed", "Item(s) was successfully removed"
"Customer Callbacks Manager", "Customer Callbacks Manager"
"Customer Callbacks", "Customer Callbacks"
"Details", "Customer Callback Details"
"Customer Name", "Customer Name"
"Customer Telephone", "Customer Telephone"
"Add new Callback", "Add new Callback"
"Edit Callback '%s'", "Edit Callback '%s'"
"Edit Item '%s'", "Edit Item '%s'"
"Remove Items", "Remove Items"
"Are you sure?", "Are you sure?"
"Action", "Action"
"Edit", "Edit"
"ID", "ID"
"Callback Request Message", "Callback Request Message"
"Callback Confirm Message", "Callback Confirm Message"
"New", "New"
"Processed", "Processed"
"Fail", "Fail"
"Created At", "Created At"
"Customer Comment", "Customer Comment"
"Administrate", "Administrate"
"Status", "Status"
"Modify At", "Modify At"
"Operator Comment", "Operator Comment"
"Comment", "Comment"
"You have new Callback request", "You have new Callback request"
"Page, were Callback called", "Page, were Callback called"
"You have new %s callback(s) request(s) from customers.", "You have new %s callback(s) request(s) from customers."
""NEW CALLBACK !!!", "NEW CALLBACK !!!"
"Click here to go to <a href=""%s"">Customer Callbacks Manager</a>.", "Click here to go to <a href=""%s"">Customer Callbacks Manager</a>."
"Show User Comment Field in Form", "Show User Comment Field in Form"
"Show CallBack Link in Header", "Show CallBack Link in Header"
"Show CallBack Link in Footer", "Show CallBack Link in Footer"
"Add New", "Add New"
