"",""
"Action","Action"
"Add Hot Category","Add Hot Category"
"Add New Hot Category Attribute","Add New Hot Category Attribute"
"An error occurred while updating the hot categories.","An error occurred while updating the hot categories."
"Are you sure?","Are you sure?"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"CSV","CSV"
"Category Id","Category Id"
"Category Mode","Category Mode"
"Category URL","Category URL"
"Change status","Change status"
"Could not find hot category to delete.","Could not find hot category to delete."
"Created at","Created at"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete File","Delete File"
"Delete Hot Category Attribute","Delete Hot Category Attribute"
"Delete Hot Category","Delete Hot Category"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Hot Category '%s'","Edit Hot Category '%s'"
"Edit Hot Category Attribute ""%s""","Edit Hot Category Attribute ""%s"""
"Edit Hot Category Attribute","Edit Hot Category Attribute"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Enabled"
"Error saving hot category","Error saving hot category"
"Excel","Excel"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Home","Home"
"Hot Categories","Hot Categories"
"Hot Category Information","Hot Category Information"
"Hot Category was saved","Hot Category was saved"
"Hot Category was successfully deleted.","Hot Category was successfully deleted."
"Hot Category was successfully saved","Hot Category was successfully saved"
"Hot Category","Hot Category"
"Id","Id"
"Image","Image"
"Manage Attributes","Manage Attributes"
"Manage Hot Category Attributes","Manage Hot Category Attributes"
"Manage Label / Options","Manage Label / Options"
"New Hot Category Attribute","New Hot Category Attribute"
"No","No"
"None","None"
"Note","Note"
"Please select hot categories to delete.","Please select hot categories to delete."
"Please select hot categories.","Please select hot categories."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Properties","Properties"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Hot Category Attribute","Save Hot Category Attribute"
"Save Hot Category","Save Hot Category"
"Scope","Scope"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
"The hot categories has been deleted.","The hot categories has been deleted."
"The hot category attribute has been deleted.","The hot category attribute has been deleted."
"The hot category attribute has been saved.","The hot category attribute has been saved."
"There was a problem saving the hot category.","There was a problem saving the hot category."
"There was an error deleting hot categories.","There was an error deleting hot categories."
"There was an error deleting hot category.","There was an error deleting hot category."
"There was an error updating hot categories.","There was an error updating hot categories."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This hot category attribute cannot be edited.","This hot category attribute cannot be edited."
"This hot category attribute no longer exists","This hot category attribute no longer exists"
"This hot category no longer exists.","This hot category no longer exists."
"Title","Title"
"Total of %d hot categories were successfully deleted.","Total of %d hot categories were successfully deleted."
"Total of %d hot categories were successfully updated.","Total of %d hot categories were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find hot category to save.","Unable to find hot category to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"XML","XML"
"Yes","Yes"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"Site URL (without site name and language)", "Site URL (without site name and language)"
"URL by Category Id", "URL by Category Id"
"(level %s)", "(level %s)"
