"", ""
"General", "General"

# form edit
"<a href="%s">Set Up values for each store</a>", "<a href="%s">Set Up values for each store</a>"
"Export File Settings", "Export File Settings"
"Name", "Name"
"File name", "File name"
"Type", "Type"
"Status", "Status"
"Shop Settings and Store Selector", "Shop Settings and Store Selector"
"Shop Name", "Shop Name"
"Company Name", "Company Name"
"Use each store config defaults if blank", "Use each store config defaults if blank"
"Store View", "Store View"
"Items Settings", "Items Settings"
"Categories", "Categories"
"all categories if no selection", "all categories if no selection"
"Include Out of Stock", "Include Out of Stock"
"Min price", "Min price"
"Max price", "Max price"
"Description", "Description"
"Use {{name}} for insert product name in description", "Use {{name}} for insert product name in description"
"Add Custom Attributes Settings", "Add Custom Attributes Settings"
"UTM Settings", "UTM Settings"
"Use UTM", "Use UTM"
"No", "No"
"Yes", "Yes"
"UTM medium", "UTM medium"
"UTM source", "UTM source"
"UTM term", "UTM term"
"UTM campaign", "UTM campaign"
"YML MarketExport", "YML MarketExport"

