"<a class="fancybox" href="#agreement-content-%s">Placing an order you agree to the terms of %s.</a>","<a class="fancybox" href="#agreement-content-%s">Placing an order you agree to the terms of %s.</a>"
"Shipping and payment","Shipping and payment"
"Confirm order","Confirm order"
"Code of product: %s","Code of product: %s"
"Code of product:","Code of product:"
"pcs.","pcs."
"Products in order","Products in order"
"Thank you for your purchase!","Thank you for your purchase!"
"You have made an excellent choice.","You have made an excellent choice."
"The manager will contact you by phone <strong>%s</strong>.","The manager will contact you by phone <strong>%s</strong>."
"Your order number","Your order number"
"Shipping method:","Shipping method:"
"Shipping by address:","Shipping by address:"
"Payment method:","Payment method:"
"Products in order","Products in order"
"Shipping cost:","Shipping cost:"
"Total:","Total:"
"User agreement","User agreement"
"Personal Information", "Personal Information"
"First Name", "First Name"
"Last Name", "Last Name"
"City", "City"
"One Step Checkout", "One Step Checkout"
"Sorry, no quotes are available for this order at this time.", "Sorry, no quotes are available for this order at this time."
"Coupon code ""%s"" was applied successfully.", "Coupon code ""%s"" was applied successfully."
"Coupon code ""%s"" is not valid.", "Coupon code ""%s"" is not valid."
"Coupon code was canceled successfully.", "Coupon code was canceled successfully."
"Can not apply coupon code.", "Can not apply coupon code."
"Item remove successfully.", "Item remove successfully."
"Item remove error.", "Item remove error."
"Maximum Allowed Qty: %s", "Maximum Allowed Qty: %s"
"Item qty was changed successfully.", "Item qty was changed successfully."
"Item qty changed has error.", "Item qty changed has error."
"There was an error processing your order. Please contact us or try again later.", "There was an error processing your order. Please contact us or try again later."
"Please agree to all Terms and Conditions before placing the order.", "Please agree to all Terms and Conditions before placing the order."
"Discount (%s):", "Discount (%s):"
