"",""
"Action","Action"
"Add Contact","Add Contact"
"Add New Contact Attribute","Add New Contact Attribute"
"Additional Text","Additional Text"
"An error occurred while updating the contacts.","An error occurred while updating the contacts."
"Are you sure?","Are you sure?"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"CSV","CSV"
"Change Show In Footer","Change Show In Footer"
"Change Show in Header","Change Show in Header"
"Change status","Change status"
"Contact Information","Contact Information"
"Contact was saved","Contact was saved"
"Contact was successfully deleted.","Contact was successfully deleted."
"Contact was successfully saved","Contact was successfully saved"
"Contact","Contact"
"Contacts","Contacts"
"Could not find contact to delete.","Could not find contact to delete."
"Created at","Created at"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Contact Attribute","Delete Contact Attribute"
"Delete Contact","Delete Contact"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Edit Contact '%s'","Edit Contact '%s'"
"Edit Contact Attribute ""%s""","Edit Contact Attribute ""%s"""
"Edit Contact Attribute","Edit Contact Attribute"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Enabled"
"Error saving contact","Error saving contact"
"Excel","Excel"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Home","Home"
"Id","Id"
"Image","Image"
"Manage Attributes","Manage Attributes"
"Manage Contact Attributes","Manage Contact Attributes"
"Manage Label / Options","Manage Label / Options"
"New Contact Attribute","New Contact Attribute"
"No","No"
"None","None"
"Note","Note"
"Phone Details","Phone Details"
"Phone","Phone"
"Please select contacts to delete.","Please select contacts to delete."
"Please select contacts.","Please select contacts."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Properties","Properties"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Contact Attribute","Save Contact Attribute"
"Save Contact","Save Contact"
"Scope","Scope"
"Show In Footer","Show In Footer"
"Show in Header","Show in Header"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
"The contact attribute has been deleted.","The contact attribute has been deleted."
"The contact attribute has been saved.","The contact attribute has been saved."
"The contacts has been deleted.","The contacts has been deleted."
"There was a problem saving the contact.","There was a problem saving the contact."
"There was an error deleting contact.","There was an error deleting contact."
"There was an error deleting contacts.","There was an error deleting contacts."
"There was an error updating contacts.","There was an error updating contacts."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This contact attribute cannot be edited.","This contact attribute cannot be edited."
"This contact attribute no longer exists","This contact attribute no longer exists"
"This contact no longer exists.","This contact no longer exists."
"Title","Title"
"Total of %d contacts were successfully deleted.","Total of %d contacts were successfully deleted."
"Total of %d contacts were successfully updated.","Total of %d contacts were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find contact to save.","Unable to find contact to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"XML","XML"
"Yes","Yes"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"Mobile Operator Icon", "Mobile Operator Icon"
"recommended 40x40 PNG picture", "recommended 40x40 PNG picture"
"Our Contacts and CallBack", "Our Contacts and CallBack"
"Setup blocks positions", "Setup blocks positions"
"set block position in header, where to show callback and phones list", "set block position in header, where to show callback and phones list"
"Header CallBack and Contacts positions", "Header CallBack and Contacts positions"
"Our Contacts", "Our Contacts"
