"",""
"Action","Action"
"Add Banner","Add Banner"
"Add New Banner Attribute","Add New Banner Attribute"
"An error occurred while updating the banners.","An error occurred while updating the banners."
"Are you sure?","Are you sure?"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"Banner Information","Banner Information"
"Banner was saved","Banner was saved"
"Banner was successfully deleted.","Banner was successfully deleted."
"Banner was successfully saved","Banner was successfully saved"
"Banner","Banner"
"Banners","Banners"
"CSV","CSV"
"Change status","Change status"
"Could not find banner to delete.","Could not find banner to delete."
"Created at","Created at"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Description","Description"
"Default Values","Default Values"
"Delete Banner Attribute","Delete Banner Attribute"
"Delete Banner","Delete Banner"
"Delete File","Delete File"
"Delete","Delete"
"Disabled","Disabled"
"Edit Banner '%s'","Edit Banner '%s'"
"Edit Banner Attribute ""%s""","Edit Banner Attribute ""%s"""
"Edit Banner Attribute","Edit Banner Attribute"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Enabled"
"Error saving banner","Error saving banner"
"Excel","Excel"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Home","Home"
"Id","Id"
"Image","Image"
"Manage Attributes","Manage Attributes"
"Manage Banner Attributes","Manage Banner Attributes"
"Manage Label / Options","Manage Label / Options"
"New Banner Attribute","New Banner Attribute"
"No","No"
"None","None"
"Note","Note"
"Please select banners to delete.","Please select banners to delete."
"Please select banners.","Please select banners."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Properties","Properties"
"Redirect URL","Redirect URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Banner Attribute","Save Banner Attribute"
"Save Banner","Save Banner"
"Scope","Scope"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
"The banner attribute has been deleted.","The banner attribute has been deleted."
"The banner attribute has been saved.","The banner attribute has been saved."
"The banners has been deleted.","The banners has been deleted."
"There was a problem saving the banner.","There was a problem saving the banner."
"There was an error deleting banner.","There was an error deleting banner."
"There was an error deleting banners.","There was an error deleting banners."
"There was an error updating banners.","There was an error updating banners."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This banner attribute cannot be edited.","This banner attribute cannot be edited."
"This banner attribute no longer exists","This banner attribute no longer exists"
"This banner no longer exists.","This banner no longer exists."
"Title","Title"
"Total of %d banners were successfully deleted.","Total of %d banners were successfully deleted."
"Total of %d banners were successfully updated.","Total of %d banners were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find banner to save.","Unable to find banner to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"XML","XML"
"Yes","Yes"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"show as Alt if not empty","show as Alt if not empty"
"Product Banners", ""Product Banners""
