"", ""
"VKontakte", "VKontakte"
"Facebook", "Facebook"
"Google Plus", "Google Plus"
"Twitter", "Twitter"
"Youtube", "Youtube"
"Mail.ru", "Mail.ru"
"Odnoklassniki", "Odnoklassniki"
"Moi Krug", "Moi Krug"
"Vimeo", "Vimeo"
"Instagram", "Instagram"
"Pinterest", "Pinterest"
"LinkedIn", "LinkedIn"
"RenRen", "RenRen"
"Flickr", "Flickr"
"Tumblr", "Tumblr"
"Blogger", "Blogger"
"Social Icon Border", "Social Icon Border"
"Value in pixels.", "Value in pixels."
"Product Image Border Color", "Product Image Border Color"
"Price Slider Element Outer Selection Line Color", "Price Slider Element Outer Selection Line Color"
"Price Slider Element Inner Selection Line Color", "Price Slider Element Inner Selection Line Color"
"Price Slider Handle Color", "Price Slider Handle Color"
"Price Slider Handle Background Color", "Price Slider Handle Background Color"
"round", "round"
"square", "square"
"Social Links View Type", "Social Links View Type"
"in Newsletter Block", "in Newsletter Block"
"in Information Pages Block", "in Information Pages Block"
"in About Us Block", "in About Us Block"
"Social Account Settings", "Social Account Settings"
"View Type", "View Type"
"Position", "Position"
"Use Designed Account Icons", "Use Designed Account Icons"
"Products Sliders", "Products Sliders"
"Number of Products in Slider", "Number of Products in Slider"
"Value in etc. From 1 to 100", "Value in etc. From 1 to 100"
"Breakpoints", "Breakpoints"
"Assign number of items in a row to specific viewport width. in default: '[0, 1], [320, 2], [480, 3], [768, 4], [960, 5], [1280, 6]'", "Assign number of items in a row to specific viewport width. in default: '[0, 1], [320, 2], [480, 3], [768, 4], [960, 5], [1280, 6]'"
"Responsive", "Responsive"
"Show Items Number", "Show Items Number"
"Number of items in a row displayed if responsive mode is off. Value in etc. from 1 to 100", "Number of items in a row displayed if responsive mode is off. Value in etc. from 1 to 100"
"Keep Aspect Ratio", "Keep Aspect Ratio"
"if Yes, you may set Width image only", "if Yes, you may set Width image only"
"Image Width", "Image Width"
"Value in pixels", "Value in pixels"
"Image Height", "Image Height"
"Init Delay", "Init Delay"
"Value in milliseconds. From 1 to 100000", "Value in milliseconds. From 1 to 100000"
"Pagination", "Pagination"
"Pagination on/off", "Pagination on/off"
"Random Output", "Random Output"
"show in random order", "show in random order"
"Hide Buttons", "Hide Buttons"
"Hide 'buy'/'details'", "Hide 'buy'/'details'"
"Move", "Move"
"Number of items that should move on scrolling. From 1 to 10", "Number of items that should move on scrolling. From 1 to 10"
"Loop", "Loop"
"If set, slider will loop", "If set, slider will loop"
"Timeout", "Timeout"
"Slider timeout. Set to enable automatic scrolling. Value in milliseconds.", "Slider timeout. Set to enable automatic scrolling. Value in milliseconds."
"Scrolling Speed", "Scrolling Speed"
"Speed (arrows / touch swipe). in milliseconds from 0 to 100000", "Speed (arrows / touch swipe). in milliseconds from 0 to 100000"
"Auto Scrolling Speed", "Auto Scrolling Speed"
"Speed (automatic scrolling / pagination). in milliseconds from 0 to 100000", "Speed (automatic scrolling / pagination). in milliseconds from 0 to 100000"
"Pause", "Pause"
"Pause slider on mouse hover", "Pause slider on mouse hover"
"Lazy Image Loading", "Lazy Image Loading"
"Load image only if need to show it to user", "Load image only if need to show it to user"
"Centered", "Centered"
"Equal Height", "Equal Height"
"Labels Font Size", "Labels Font Size"
"Labels Font Size on Product Sliders", "Labels Font Size on Product Sliders"
"Labels Font Size (Grid View)", "Labels Font Size (Grid View)"
"Labels Font Size (List View)", "Labels Font Size (List View)"
"Labels", "Labels"
"Value in pixels. From 1 to 50 px", "Value in pixels. From 1 to 50 px"
"Price Slider on Layered Navigation", "Price Slider on Layered Navigation"
"Site Settings", "Site Settings"
"Menus and Pages", "Menus and Pages"
"HomePage Content", "HomePage Content"
"Include in Footer Menu", "Include in Footer Menu"
"Category Title H1", "Category Title H1"
"Category Banner", "Category Banner"
"Other Settings", "Other Settings"
"Show National Flags on Switchers", "Show National Flags on Switchers"
"Show Language Code (ISO 3166-1)", "Show Language Code (ISO 3166-1)"
