"",""
"Action","Action"
"Add Shop Review","Add Shop Review"
"An error occurred while updating the shop review.","An error occurred while updating the shop review."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find shop review to delete.","Could not find shop review to delete."
"Created at","Created at"
"Delete Shop Review","Delete Shop Review"
"Delete","Delete"
"Disabled","Disabled"
"Edit Shop Review '%s'","Edit Shop Review '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving shop review","Error saving shop review"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select shop review to delete.","Please select shop review to delete."
"Please select shop review.","Please select shop review."
"Reset","Reset"
"Review Status","Review Status"
"Save And Continue Edit","Save And Continue Edit"
"Save Shop Review","Save Shop Review"
"Shop Review was saved","Shop Review was saved"
"Shop Review was successfully deleted.","Shop Review was successfully deleted."
"Shop Review was successfully saved","Shop Review was successfully saved"
"Shop Review","Shop Review"
"Status","Status"
"Store views","Store views"
"Subject Review","Subject Review"
"The shop review has been deleted.","The shop review has been deleted."
"There was a problem saving the shop review.","There was a problem saving the shop review."
"There was an error deleting shop review.","There was an error deleting shop review."
"There was an error updating shop review.","There was an error updating shop review."
"This shop review no longer exists.","This shop review no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d shop review were successfully deleted.","Total of %d shop review were successfully deleted."
"Total of %d shop review were successfully updated.","Total of %d shop review were successfully updated."
"Unable to find shop review to save.","Unable to find shop review to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"User Email","User Email"
"User Name","User Name"
"User Phone","User Phone"
"User Review","User Review"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"