" - Edit"," - Edit"
"",""
"Action","Action"
"Add Child Post Category","Add Child Post Category"
"Add New Post Attribute","Add New Post Attribute"
"Add New Post Category Attribute","Add New Post Category Attribute"
"Add Post Category","Add Post Category"
"Add Post","Add Post"
"Add Root Post Category","Add Root Post Category"
"Allow Comments","Allow Comments"
"Allow comments","Allow comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the post category.","An error occurred while trying to delete the post category."
"An error occurred while updating the post categories.","An error occurred while updating the post categories."
"An error occurred while updating the posts.","An error occurred while updating the posts."
"Approved","Approved"
"Archived","Archived"
"Are you sure?","Are you sure?"
"Associated categories","Associated categories"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"Author","Author"
"AutoArchive Posts","AutoArchive Posts"
"CSV","CSV"
"Can't delete root post category.","Can't delete root post category."
"Change Archived","Change Archived"
"Change AutoArchive Posts","Change AutoArchive Posts"
"Change Post Category","Change Post Category"
"Change Show on Homepage","Change Show on Homepage"
"Change status","Change status"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find post category to delete.","Could not find post category to delete."
"Could not find post to delete.","Could not find post to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete File","Delete File"
"Delete Post Attribute","Delete Post Attribute"
"Delete Post Category Attribute","Delete Post Category Attribute"
"Delete Post Category","Delete Post Category"
"Delete Post comment","Delete Post comment"
"Delete Post","Delete Post"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Post '%s'","Edit Post '%s'"
"Edit Post Attribute ""%s""","Edit Post Attribute ""%s"""
"Edit Post Attribute","Edit Post Attribute"
"Edit Post Category '%s'","Edit Post Category '%s'"
"Edit Post Category Attribute ""%s""","Edit Post Category Attribute ""%s"""
"Edit Post Category Attribute","Edit Post Category Attribute"
"Edit Post comment '%s'","Edit Post comment '%s'"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving post category","Error saving post category"
"Error saving post","Error saving post"
"Excel","Excel"
"Expand All","Expand All"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Header Text","Header Text"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Image"
"Label","Label"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Manage Attributes","Manage Attributes"
"Manage Label / Options","Manage Label / Options"
"Manage Post Attributes","Manage Post Attributes"
"Manage Post Categories","Manage Post Categories"
"Manage Post Category Attributes","Manage Post Category Attributes"
"Manual Author Name","Manual Author Name"
"Manual Posts Days to Archived Status Set","Manual Posts Days to Archived Status Set"
"Meta description for post categories list page","Meta description for post categories list page"
"Meta description for posts list page","Meta description for posts list page"
"Meta information","Meta information"
"Meta keywords for post categories list page","Meta keywords for post categories list page"
"Meta keywords for posts list page","Meta keywords for posts list page"
"Meta title for post categories list page","Meta title for post categories list page"
"Meta title for posts list page","Meta title for posts list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Post Comments","My Post Comments"
"My Posts comment view","My Posts comment view"
"New Before","New Before"
"New From","New From"
"New Post Attribute","New Post Attribute"
"New Post Category Attribute","New Post Category Attribute"
"New Post Category","New Post Category"
"New Root Post Category","New Root Post Category"
"No","No"
"None","None"
"Note","Note"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Placeholder Image","Placeholder Image"
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select post categories to delete.","Please select post categories to delete."
"Please select post categories.","Please select post categories."
"Please select posts to delete.","Please select posts to delete."
"Please select posts.","Please select posts."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Post Categories","Post Categories"
"Post Category Information","Post Category Information"
"Post Category move error","Post Category move error"
"Post Category move operation is not possible: parent post category is equal to child post category.","Post Category move operation is not possible: parent post category is equal to child post category."
"Post Category move operation is not possible: the current post category was not found.","Post Category move operation is not possible: the current post category was not found."
"Post Category move operation is not possible: the new parent post category was not found.","Post Category move operation is not possible: the new parent post category was not found."
"Post Category subtree widget","Post Category subtree widget"
"Post Category subtree","Post Category subtree"
"Post Category was saved","Post Category was saved"
"Post Category was successfully deleted.","Post Category was successfully deleted."
"Post Category was successfully saved","Post Category was successfully saved"
"Post Category","Post Category"
"Post Comment","Post Comment"
"Post Comments","Post Comments"
"Post Content","Post Content"
"Post Date","Post Date"
"Post Image","Post Image"
"Post Information","Post Information"
"Post comment","Post comment"
"Post was saved","Post was saved"
"Post was successfully deleted.","Post was successfully deleted."
"Post was successfully saved","Post was successfully saved"
"Post","Post"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Posts","Posts"
"Preview Content","Preview Content"
"Preview Image","Preview Image"
"Properties","Properties"
"Recursion level","Recursion level"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Post Attribute","Save Post Attribute"
"Save Post Category Attribute","Save Post Category Attribute"
"Save Post Category","Save Post Category"
"Save Post comment","Save Post comment"
"Save Post","Save Post"
"Scope","Scope"
"Select Post Category","Select Post Category"
"Short Description","Short Description"
"Show in rss","Show in rss"
"Show on Homepage","Show on Homepage"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The post attribute has been deleted.","The post attribute has been deleted."
"The post attribute has been saved.","The post attribute has been saved."
"The post categories has been deleted.","The post categories has been deleted."
"The post category attribute has been deleted.","The post category attribute has been deleted."
"The post category attribute has been saved.","The post category attribute has been saved."
"The post category has been saved.","The post category has been saved."
"The posts has been deleted.","The posts has been deleted."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the post category.","There was a problem saving the post category."
"There was a problem saving the post.","There was a problem saving the post."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting post categories.","There was an error deleting post categories."
"There was an error deleting post category.","There was an error deleting post category."
"There was an error deleting post.","There was an error deleting post."
"There was an error deleting posts.","There was an error deleting posts."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating post categories.","There was an error updating post categories."
"There was an error updating posts.","There was an error updating posts."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This comment no longer exists.","This comment no longer exists."
