"",""
"Action","Действие"
"Add Benefit","Добавить преимущество"
"Add New Benefit Attribute","Добавить новый атрибут для преимущества"
"An error occurred while updating the benefits.","Ошибка возникла в процессе обновления преимуществ."
"Are you sure?","Вы уверены?"
"Associated categories","Связанные категории"
"Associated products","Связанные товары"
"Attribute ""%s"" is required.","Атрибут ""%s"" обязателен."
"Attribute Information","Информация атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Код атрибута не коректен. Пожалуйста,используйте только буквы (а-ю)",цифты (0-9) или нижнее подчеркивание(_) в этих полях,первым символом должна быть буква.
"Attributes","Атрибуты"
"Benefit Information","Информация преимуществ"
"Benefit Text","Текст преимуществ"
"Benefit was saved","Преимущество сохранено"
"Benefit was successfully deleted.","Преимущество успешно удалено."
"Benefit was successfully saved","преимущество успешно сохранено"
"Benefit","Преимущество"
"Benefits","Преимущества"
"CSV","CSV"
"Change Show on homepage","Изменить вывод на домашней странице"
"Change status","Изменить статус"
"Could not find benefit to delete.","Невозможно найти преимущество для удаления."
"Created at","Созданно в"
"Declare attribute value saving scope","Объявить значение атрибута ,сохраняя объем"
"Default Values","Дефолтные значения"
"Delete Benefit Attribute","Удалить атрибут преимущества"
"Delete Benefit","Удалить преимущество"
"Delete File","Удалить файл"
"Delete","Удалить"
"Disabled","Неактивный"
"Edit Benefit '%s'","Редактировать преимущество '%s'"
"Edit Benefit Attribute ""%s""","Редактировать атрибут преимущества ""%s"""
"Edit Benefit Attribute","Редактировать атрибут преимущества"
"Edit","Редактировать"
"Enable WYSIWYG","Активировать WYSIWYG"
"Enabled","Активировать"
"Error saving benefit","Ошибка сохранения преимущества"
"Excel","Excel"
"File","Файл"
"Frontend Properties","свойсва фронтенда"
"Global","Глобально"
"Home","Home"
"Id","Id"
"Image","Изображение"
"Manage Attributes","Управление атрибутами"
"Manage Benefit Attributes","управление атрибутами преимущесва"
"Manage Label / Options","Управление лейбой  / Опции"
"New Benefit Attribute","Новый атрибут преимущества"
"No","Нет"
"None","Ни одной"
"Note","Заметка"
"Please select benefits to delete.","Пожалуйста, выберите преимущества для удаления."
"Please select benefits.","Пожалуйста,выберите преимущество."
"Position in the admin form","Позиция в админ форме"
"Position","Позиция"
"Properties","Свойства"
"Reset","Сброс"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Benefit Attribute","Сохранить атрибут преимущества"
"Save Benefit","Сохранить Преимущество"
"Scope","Объем"
"Show on homepage","Показывать на главной странице"
"Status","Статус"
"Store View","просмотр магазина"
"Store views","Просмотры магазина"
"Text to appear below the input.","Текст появляется ниже поля инпута."
"The benefit attribute has been deleted.","Атрибут преимущества был удален."
"The benefit attribute has been saved.","Атрибут преимущества был сохранен."
"The benefits has been deleted.","Преимущество было  удалено."
"There was a problem saving the benefit.","Возникла проблема,сохраняя преимущество."
"There was an error deleting benefit.","Возникла проблема,удаляя преимущесто."
"There was an error deleting benefits.","Возникла проблема,удаляя преимущества."
"There was an error updating benefits.","Возникла ошибка,обновляя преимущества."
"This attribute cannot be deleted.","Невозможно удалить этот атрибут."
"This attribute cannot be updated.","Невозможно обновить этот атрибут."
"This attribute is not deletable","Невозможно удалить этот атрибут"
"This attribute no longer exists","Этот атрибут больше не существует"
"This benefit attribute cannot be edited.","Невозможно редактировать этот атрибут преимущество."
"This benefit attribute no longer exists","Этот атрибут преимущество больше не существует "
"This benefit no longer exists.","Это преимущество больше не существует."
"Title","Заголовок"
"Total of %d benefits were successfully deleted.","Всего  %d преимуществ были успешно удалены."
"Total of %d benefits were successfully updated.","Всего  %d преимуществ быди успешно обновлены."
"Total of %d record(s) have been deleted.","Всего  %d запись(ей) были удалены."
"Total of %d record(s) have been updated.","Всего  %d запись(ей) были обновлены."
"Unable to find an attribute to delete.","Вкл."
"Unable to find benefit to save.","Невозможно найти преимущество для сохранения."
"Updated at","Обновлено в"
"Use Breadcrumbs","использовать бредкрамбс"
"WYSIWYG Editor","WYSIWYG редактор"
"Website","Вебсайт"
"XML","XML"
"Yes","Да"
"[GLOBAL]","[Глобально]"
"[STORE VIEW]","[Показывать в магазине]"
"[WEBSITE]","[Вебсайт]"
