"New in Store", "Новинки"
"Special Offers", "Специальные предложения"
"New Product Count", "Подсчет новых товаров"
"Special Offers Product Count", "Количество Специальное предложение "
"Products Sliders", "Слайдеры товаров"
"Sliders layout configuration", "Конфигурация макета слайдеров"
""Special Offers"" and ""Hits of Sales"" as Half of Width", ""Специальное предложение"" и ""Хиты и Скидки"" в половину ширины"
"Products Slider ""New Arrivals""", "Слайдер товара ""Новые поступления"""
"Products Slider ""Special Offers""", "Слайдер товара ""Специальное предложение"""
"Products Slider ""Hits of Sales""", "Слайдер товара ""Хиты продаж"""
"Slider Title", "Заголовок слайдера"
"HomePage", "Домашняя страница"
"Enable", "Включить"
"Number of Products", "Подсчет товаров"
"Random", "Случайная последовательность"
"Hide Buttons", "Скрыть кнопки"
"Move", "Двигать"
"Pagination", "Постранично листать"
"Centered", "Отцентрирована"
"Maximum category depth", "Максимальная глубина категории"
"Slider Categories Select", "Выбор категорий товаров для слайдера"
"Show Mega Menu on Left of Slider", "Показать мегаменю слева слайдера"
"The select of the root category for the menu in the slideshow", "выбор корневой категории для меню категорий в блоке слайдшоу "
"product shows, if product has ""Special Price"", or enabled attribute ""Special Offers"" on product price tab", "показ товаров, если у товара есть ""Специальная цена"", или включить атрибут  "Специальное предложение" на товары табов цена"
"Select by Attribute or Source Category", "Выбор по атрибутам или источнику категории"
"Attribute name - ""Hit of Sales"" in each product", "имя атрибута - ""Хиты продаж"" в каждом товаре"
"by Attribute", "по атрибуту"
"in Categories", "в категориях"
"by Attribute in Categories", "по атрибуту в категориях"
"Product BreakPoints View Mini-Slider", "Количество товаров в слайдере (половина ширины экрана) при разных разрешениях экрана"
"Product BreakPoints View", "Количество товаров слайдере (на всю ширину экрана) при разных разрешениях экрана"
"from sales reports", "из отчетов продаж"
"set level depth of catalog category, save for update", "установить уровень глубины каталога категории (сохраните для обновления)"
"Banners Settings", "Настройки баннеров"
"Sliders Settings", "Настройки слайдеров"
"no margin, no padding in grid", "без отступов по краям и между баннерами "
"Banners Slim Mode", "Плоский вид баннеров"
"Hits Of Sales Products", "Хиты продаж"
"Hits Of Sales", "Хиты продаж"
"Regular only", "Обычный"
"Regular and Mobile(Pad)", "Обычный и Мобильный(плнаншет)"
"Regular and Mobile(Phone and Pad)", "Обычный и Мобильный(телефон и планшет)"
"Slideshow Settings", "Настройки слайдшоу"
"Mode", "Режим"
"Full Width Homepage", "Full Width Homepage"
