еу"<a class="fancybox" href="#agreement-content-%s">Placing an order you agree to the terms of %s.</a>","<a class="fancybox" href="#agreement-content-%s">Оформляя заказ Вы соглашаетесь с условиями %s.</a>"
"Shipping and payment","Доставка и оплата"
"Confirm order","Подтвердить заказ"
"Code of product: %s","Артикул: %s"
"Code of product:","Артикул:"
"pcs.","шт."
"Products in order","Товары в заказе"
"Thank you for your purchase!","Спасибо за Ваш заказ!"
"You have made an excellent choice.","Вы сделали прекрасный выбор."
"The manager will contact you by phone <strong>%s</strong>.","Менеджер свяжется с Вами по телефону<strong>%s</strong>."
"Your order number","Ваш номер заказа"
"Shipping method:","Метод доставки:"
"Shipping by address:","Отправка по адресу:"
"Payment method:","Метод оплаты:"
"Products in order","Товары в заказе"
"Shipping cost:","Цена за доставку:"
"Total:","Всего:"
"User agreement","Пользовательское соглашение"
"Personal Information", "Личная информация"
"First Name", "Имя"
"Last Name", "Фамилия"
"City", "Город"
"Nova Poshta - Nova Poshta", "Новая Почта"
"One Step Checkout", "Одношаговый чекаут"
"Sorry, no quotes are available for this order at this time.", "Извините, в данный момент нет доступных вариантов выбора."
"Coupon code ""%s"" was applied successfully.", "Скидочный купон %s успешно применен."
"Coupon code ""%s"" is not valid.", "Скидочный купон %s не действительный."
"Coupon code was canceled successfully.", "Скидочный купон успешно применен."
"Can not apply coupon code.", "Применить скидочный купон не удалось."
"Item remove successfully.", "Товар успешно удален."
"Item remove error.", "Не удалось удалить товар."
"Maximum Allowed Qty: %s", "Максимальное количество товара: %s"
"Item qty was changed successfully.", "Измение количества товара прошло успешно"
"Item qty changed has error.", "Измение количества товара не удалось."
"There was an error processing your order. Please contact us or try again later.", "В процессе сохранения заказа произошел сбой. Пожалуйста, свяжитесь с нами или попробуйте ещё раз."
"Please agree to all Terms and Conditions before placing the order.", "Пожалуйста, подтвердите Правила и Условия перед сохранением заказа."
"Discount (%s):", "Скидка (%s):"
"Your Comment for this Order", "Ваш комментарий к этому заказу"
"Applied discount coupon: ", "Применена скидка по купону: "
"Your comment for order is ", "Ваш коментарий к заказу: "
"Maximum Characters:", "Максимум символов: "
"Character Left: ", "Осталось символов:"
