"", ""
"VKontakte", "вКонтакте"
"Facebook", "Facebook"
"Google Plus", "Google Plus"
"Twitter", "Twitter"
"Youtube", "Youtube"
"Mail.ru", "Mail.ru"
"Odnoklassniki", "Odnoklassniki"
"Moi Krug", "Moi Krug"
"Vimeo", "Vimeo"
"Instagram", "Instagram"
"Pinterest", "Pinterest"
"LinkedIn", "LinkedIn"
"RenRen", "RenRen"
"Flickr", "Flickr"
"Tumblr", "Tumblr"
"Blogger", "Blogger"
"Social Icon Border", "Обводка границы иконок социальных сетей"
"Value in pixels.", "Значение в пикселях"
"Product Image Border Color", "Изображение товара цвет бордера"
"Price Slider Element Outer Selection Line Color", "Цвет внешней линии слайдера цены"
"Price Slider Element Inner Selection Line Color", "Цвет внутренней линии слайдера цены"
"Price Slider Handle Color", "Цвет ползунка слайдера цены"
"Price Slider Handle Background Color", "Цвет фона ползунка слайдера цены"
"round", "круглые"
"square", "квадратные"
"Social Links View Type", "Внешний вид иконок"
"in Newsletter Block", "на блоке Подписки на новости"
"in Information Pages Block", "на блоке ""Информационные страницы"" (футер)"
"in About Us Block", "на блоке ""О Нас"" (футер)"
"Social Account Settings", "Настройки социальных аккаутнов"
"View Type", "Тип отображения"
"Position", "Позиция"
"Use Designed Account Icons", "Использовать дизайнерские иконки аккаунта"
"Products Sliders", "Слайдер товаров"
"Number of Products in Slider", "Количество товаров в слайдере"
"Value in etc. From 1 to 100", "Количество в шт. от 1 до 100"
"Breakpoints", "Настройка вывода количества"
"Assign number of items in a row to specific viewport width. in default: '[0, 1], [320, 2], [480, 3], [768, 4], [960, 5], [1280, 6]'", "Назначить количество товаров в строке для определенных разрешений экранов. по-умолчанию: '[0, 1], [320, 2], [480, 3], [768, 4], [960, 5], [1280, 6]'"
"Responsive", "Адаптивное отображение"
"Show Items Number", "Показываемое количество товаров"
"Number of items in a row displayed if responsive mode is off. Value in etc. from 1 to 100", "Показываемое количество товаров в строке, если адаптивное отображение выключено. Значение в шт. от 1 до 100"
"Keep Aspect Ratio", "Сохранить соотношение размера изображения"
"if Yes, you may set Width image only", "если Да, то задается только ширина ихображения"
"Image Width", "Ширина изображения"
"Value in pixels", "Значение в пикселях"
"Image Height", "Высота изображения"
"Init Delay", "Задержка отображения"
"Value in milliseconds. From 1 to 100000", "Значение в миллисекундах. От 1 до 100000"
"Pagination", "Постраничный вывод"
"Pagination on/off", "вкл/выкл"
"Random Output", "Случайный порядок отображения"
"show in random order", "показывать товары в случайном порядке"
"Hide Buttons", "Скрыть конпки"
"Hide 'buy'/'details'", "Скрыть Купить/Детальнее"
"Move", "Движение"
"Number of items that should move on scrolling. From 1 to 10", "Количество товаров, на которые будет смещаться слайдер. От 1 до 10"
"Loop", "Цикл"
"If set, slider will loop", "если Да, то слайдер будет показывать по кругу"
"Timeout", "Таймер"
"Slider timeout. Set to enable automatic scrolling. Value in milliseconds.", "Таймер автопереключения. Установить для авто переключения. Значение в миллисекундах. 0 - выключено."
"Scrolling Speed", "Скорость прокрутки"
"Speed (arrows / touch swipe). in milliseconds from 0 to 100000", "Скорость (стрелками / пролистывание сенсором). в милисекундах от 0 до 100000"
"Auto Scrolling Speed", "Скорость автопролистывания"
"Speed (automatic scrolling / pagination). in milliseconds from 0 to 100000", "Скорость (автопролистывание / постраничное пролистывание). в милисекундах от 0 до 100000"
"Pause", "Пауза"
"Pause slider on mouse hover", "Пауза прлистывания при наведении на слайдер"
"Lazy Image Loading", "Подгузка изображений"
"Load image only if need to show it to user", "Загружает изображения, только при необходимости показа их пользователю"
"Centered", "Отцентрировано"
"Equal Height", "Выравнивание по высоте"
"Labels Font Size", "Размер шрифта ярлыков"
"Labels Font Size on Product Sliders", "Размер шрифта ярлыков на слайдерах продуктов"
"Labels Font Size (Grid View)", "Размер шрифта ярлыков (Вид плиткой)"
"Labels Font Size (List View)", "Размер шрифта ярлыков (Вид списком)"
"Labels", "Ярлыки"
"Value in pixels. From 1 to 50 px", "Значение в пикселях от 1 до 50"
"Price Slider on Layered Navigation", "Слайдер цены на странице навигации"
"Site Settings", "Настройки сайта"
"Menus and Pages", "Меню и Страницы"
"HomePage Content", "Главная страница (содержимое)"
"Include in Footer Menu", "Отображать в меню футера"
"Category Title H1", "Заголовок категории <H1>"
"Category Banner", "Баннер категории"
"Other Settings", "Другие настройки"
"Show National Flags on Switchers", "Показывать национальные флаги в переключателе языков"
"Show Language Code (ISO 3166-1)", "Показывать коды (ISO 3166-1) в переключателе языков"
