" - Edit"," - Edit"
"",""
"Action", "Действие"
"Add Child Post Category","Add Child Post Category"
"Add New Post Attribute","Add New Post Attribute"
"Add New Post Category Attribute","Add New Post Category Attribute"
"Add Post Category","Add Post Category"
"Add Post","Добавить пост"
"Add Root Post Category","Add Root Post Category"
"Allow Comments","Разрешить комментарии"
"Allow comments","Разрешить комментарии"
"Allow guest comments","Разрешить комментировать незарегистрированным"
"An error occurred while trying to delete the post category.","An error occurred while trying to delete the post category."
"An error occurred while updating the post categories.","An error occurred while updating the post categories."
"An error occurred while updating the posts.","An error occurred while updating the posts."
"Approved","Подтвержден"
"Archived","Архивный"
"Are you sure?","Вы уверены?"
"Associated categories","Associated categories"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Атрибуты"
"Author","Автор"
"AutoArchive Posts","AutoArchive Posts"
"CSV","CSV"
"Can't delete root post category.","Can't delete root post category."
"Change Archived","Change Archived"
"Change AutoArchive Posts","Change AutoArchive Posts"
"Change Post Category","Change Post Category"
"Change Show on Homepage","Change Show on Homepage"
"Change status","Change status"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find post category to delete.","Could not find post category to delete."
"Could not find post to delete.","Could not find post to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete File","Delete File"
"Delete Post Attribute","Delete Post Attribute"
"Delete Post Category Attribute","Delete Post Category Attribute"
"Delete Post Category","Delete Post Category"
"Delete Post comment","Delete Post comment"
"Delete Post","Delete Post"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Post '%s'","Edit Post '%s'"
"Edit Post Attribute ""%s""","Edit Post Attribute ""%s"""
"Edit Post Attribute","Edit Post Attribute"
"Edit Post Category '%s'","Edit Post Category '%s'"
"Edit Post Category Attribute ""%s""","Edit Post Category Attribute ""%s"""
"Edit Post Category Attribute","Edit Post Category Attribute"
"Edit Post comment '%s'","Редактировать комментарий к посту '%s'"
"Edit","Редактировать"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving post category","Error saving post category"
"Error saving post","Error saving post"
"Excel","Excel"
"Expand All","Expand All"
"File","Файл"
"Frontend Properties","Frontend Properties"
"Global","Глобально"
"Guest comments are not allowed","Guest comments are not allowed"
"Header Text","Header Text"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Изображение"
"Label","Метка"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Manage Attributes","Manage Attributes"
"Manage Label / Options","Manage Label / Options"
"Manage Post Attributes","Manage Post Attributes"
"Manage Post Categories","Manage Post Categories"
"Manage Post Category Attributes","Manage Post Category Attributes"
"Manual Author Name","Имя автора"
"Manual Posts Days to Archived Status Set","Manual Posts Days to Archived Status Set"
"Meta description for post categories list page","Meta description for post categories list page"
"Meta description for posts list page","Meta description for posts list page"
"Meta information","Meta information"
"Meta keywords for post categories list page","Meta keywords for post categories list page"
"Meta keywords for posts list page","Meta keywords for posts list page"
"Meta title for post categories list page","Meta title for post categories list page"
"Meta title for posts list page","Meta title for posts list page"
"Meta","Meta"
"Meta-description","Meta-описание"
"Meta-keywords","Meta-ключевые слова"
"Meta-title","Meta-заголовок"
"My Post Comments","Мои комментарии к постам"
"My Posts comment view","My Posts comment view"
"New Before","Новый до"
"New From","Новый с"
"New Post Attribute","Новый атрибут поста"
"New Post Category Attribute","Новый атрибут категории"
"New Post Category","Новая категория"
"New Root Post Category","Новая главная категоия"
"No","Нет"
"None","None"
"Note","Note"
"On %s you wrote:","На %s Вы написали:"
"Pending","Отложен"
"Placeholder Image","Изображение по умолчанию"
"Please select comments to delete.","Пожалуйста, выделите комментарии для удаления"
"Please select comments.","пожалуйста, выделите комментарии"
"Please select post categories to delete.","Пожалуйста, выделите категории для удаления"
"Please select post categories.","Пожалуйста, выделите категории"
"Please select posts to delete.","пожалуйста, выделите посты для удаления"
"Please select posts.","пожалуйста, выделите посты"
"Position in the admin form","Position in the admin form"
"Position","Популярность"
"Post Categories","Категории постов"
"Post Category Information","Информация категории"
"Post Category move error","Ошибка перемещения категории"
"Post Category move operation is not possible: parent post category is equal to child post category.","Post Category move operation is not possible: parent post category is equal to child post category."
"Post Category move operation is not possible: the current post category was not found.","Post Category move operation is not possible: the current post category was not found."
"Post Category move operation is not possible: the new parent post category was not found.","Post Category move operation is not possible: the new parent post category was not found."
"Post Category subtree widget","Post Category subtree widget"
"Post Category subtree","Post Category subtree"
"Post Category was saved","Категория была сохранена"
"Post Category was successfully deleted.","Post Category was successfully deleted."
"Post Category was successfully saved","Post Category was successfully saved"
"Post Category","Категория"
"Post Comment","Комментарий"
"Post Comments","Комментарии"
"Post Content","Содержимое поста"
"Post Date","Дата поста"
"Post Image","Изображение поста"
"Post Information","Post Information"
"Post comment","Комментарий"
"Post was saved","Пост был сохранен"
"Post was successfully deleted.","Пост был успешно удален"
"Post was successfully saved","Пост был успешно сохранен"
"Post", "Пост"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Posts", "Посты"
"Preview Content","Содержимое предварительного просмотра"
"Preview Image","Изображение предварительного просмотра"
"Properties", "Свойства"
"Recursion level","Recursion level"
"Rejected", "Откланено"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset", "Сбросить"
"Root", "Главная"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Post Attribute","Save Post Attribute"
"Save Post Category Attribute","Save Post Category Attribute"
"Save Post Category","Сохранить категорию"
"Save Post comment","Сохранить комментарий"
"Save Post","Сохранить пост"
"Scope","Область видимости"
"Select Post Category","Выберите категорию"
"Short Description","Короткое описание"
"Show in rss","Show in rss"
"Show on Homepage","На главной"
"Status", "Статус"
"Store View","Store View"
"Store views","Store views"
"Text to appear below the input.","Text to appear below the input."
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The post attribute has been deleted.","The post attribute has been deleted."
"The post attribute has been saved.","The post attribute has been saved."
"The post categories has been deleted.","The post categories has been deleted."
"The post category attribute has been deleted.","The post category attribute has been deleted."
"The post category attribute has been saved.","The post category attribute has been saved."
"The post category has been saved.","The post category has been saved."
"The posts has been deleted.","The posts has been deleted."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the post category.","There was a problem saving the post category."
"There was a problem saving the post.","There was a problem saving the post."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting post categories.","There was an error deleting post categories."
"There was an error deleting post category.","There was an error deleting post category."
"There was an error deleting post.","There was an error deleting post."
"There was an error deleting posts.","There was an error deleting posts."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating comments.","There was an error updating comments."
