"",""
"Action","Дія"
"Add Benefit","Додати перевагу"
"Add New Benefit Attribute","Додати новий атрибут для переваги"
"An error occurred while updating the benefits.","Помилка сталася в процесі оновлення переваг."
"Are you sure?","Ви впевнені?"
"Associated categories","Зв`язані категорії"
"Associated products","Зв`язані товари"
"Attribute ""%s"" is required.","Атрибут ""%s"" обов'язковий."
"Attribute Information","Информація атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Код атрибута не коректний. Будь ласка, використовуйте тільки літери (а-я)", цифри (0-9) або нижнє підкреслення (_) в цих полях, першим символом має бути літера."
"Attributes","Атрибути"
"Benefit Information","Інформація переваг"
"Benefit Text","Текст переваг"
"Benefit was saved","Перевага збережена"
"Benefit was successfully deleted.","Перевага вдало видалена."
"Benefit was successfully saved","Перевага вдало збережена"
"Benefit","Перевага"
"Benefits","Переваги"
"CSV","CSV"
"Change Show on homepage","Змінити вивід на домашню сторінку"
"Change status","Змінити статус"
"Could not find benefit to delete.","Неможливо знайти перевагу для видалення."
"Created at","Створено в"
"Declare attribute value saving scope","Додати значення атрибута, зберігаючи об'єм"
"Default Values","Дефолтні значення"
"Delete Benefit Attribute","Видалити атрибут переваги"
"Delete Benefit","Видалити перевагу"
"Delete File","Видалити файл"
"Delete","Видалити"
"Disabled","Неактивний"
"Edit Benefit '%s'","Редагувати перевагу'%s'"
"Edit Benefit Attribute ""%s""","Редагувати атрибут переваги ""%s"""
"Edit Benefit Attribute","Редагувати атрибут переваги"
"Edit","Редагувати"
"Enable WYSIWYG","Активувати WYSIWYG"
"Enabled","Активувати"
"Error saving benefit","Помилка при збереженні переваги"
"Excel","Excel"
"File","Файл"
"Frontend Properties","Властивості фронтенда"
"Global","Глобально"
"Home","Home"
"Id","Id"
"Image","Зображення"
"Manage Attributes","Управління атрибутами"
"Manage Benefit Attributes","Управління атрибутами переваги"
"Manage Label / Options","Управління лейбою  / Опції"
"New Benefit Attribute","Новий атрибут переваги"
"No","Ні"
"None","Жодної"
"Note","Примітка"
"Please select benefits to delete.","Будь ласка, оберіть переваги для видалення."
"Please select benefits.","Будь ласка, оберіть перевагу."
"Position in the admin form","Позиція в адмін формі"
"Position","Позиція"
"Properties","Властивості"
"Reset","Сброс"
"Save And Continue Edit","Зберегти та продовжити редагування"
"Save Benefit Attribute","Зберегти атрибут переваги"
"Save Benefit","Зберегти Перевагу"
"Scope","Об'єм"
"Show on homepage","Показувати на головній сторінці"
"Status","Статус"
"Store View","Перегляд магазина"
"Store views","Перегляди магазина"
"Text to appear below the input.","Текст з'являється нижче поля інпута."
"The benefit attribute has been deleted.","Атрибут переваги був видалений."
"The benefit attribute has been saved.","Атрибут переваги був збережений."
"The benefits has been deleted.","Перевага була видалена."
"There was a problem saving the benefit.","Виникнула проблема при збереженні переваги."
"There was an error deleting benefit.","Виникнула проблема при видаленні переваги."
"There was an error deleting benefits.","Виникнула проблема при видаленні переваг."
"There was an error updating benefits.","Виникнула проблема при оновленні переваг."
"This attribute cannot be deleted.","Неможливо видалити цей атрибут."
"This attribute cannot be updated.","Неможливо оновити цей атрибут."
"This attribute is not deletable","Неможливо видалити цей атрибут"
"This attribute no longer exists","Цей атрибут більше не існує"
"This benefit attribute cannot be edited.","Неможливо редагувати цей атрибут переваги."
"This benefit attribute no longer exists","Цей атрибут переваги більше не існує"
"This benefit no longer exists.","Ця перевага більше не існує."
"Title","Назва"
"Total of %d benefits were successfully deleted.","Разом %d переваг були вдало видалені."
"Total of %d benefits were successfully updated.","Разом %d переваг були вдало оновлені."
"Total of %d record(s) have been deleted.","Разом %d запис(ів) було видалено."
"Total of %d record(s) have been updated.","Разом %d запис(ів) було оновлено."
"Unable to find an attribute to delete.","Ввімк."
"Unable to find benefit to save.","Неможливо знайти перевагу для збереження."
"Updated at","Оновлено в"
"Use Breadcrumbs","використовувати бредкрамбс"
"WYSIWYG Editor","WYSIWYG редактор"
"Website","Вебсайт"
"XML","XML"
"Yes","Так"
"[GLOBAL]","[Глобально]"
"[STORE VIEW]","[Показувати в магазині]"
"[WEBSITE]","[Вебсайт]"
