"New in Store", "Новинки"
"Special Offers", "Спеціальні пропозиції"
"New Product Count", "Підрахунок нових товарів"
"Special Offers Product Count", "Кількість спеціальних пропозицій"
"Products Sliders", "Слайдери товарів"
"Sliders layout configuration", "Конфігурація макета слайдерів"
""Special Offers"" and ""Hits of Sales"" as Half of Width", ""Спеціальні пропозиції"" та ""Хіти та Знижки"" в половину ширини"
"Products Slider ""New Arrivals""", "Слайдер товара ""Нові надходження"""
"Products Slider ""Special Offers""", "Слайдер товара ""Спеціальні пропозиції"""
"Products Slider ""Hits of Sales""", "Слайдер товара ""Хіти продажів"""
"Slider Title", "Назва слайдера"
"HomePage", "Домашня сторінка"
"Enable", "Ввімкнути"
"Number of Products", "Підрахунок товарів"
"Random", "Випадкова послідовність"
"Hide Buttons", "Приховати кнопки"
"Move", "Рухати"
"Pagination", "Гортати посторінково"
"Centered", "Отцентровано"
"Maximum category depth", "Максимальна глибина категорії"
"Slider Categories Select", "Вибір категорій товарів для слайдера"
"Show Mega Menu on Left of Slider", "Показати мегаменю зліва від слайдера"
"The select of the root category for the menu in the slideshow", "Вибір кореневої категорії для меню в блоці слайдшоу"
"product shows, if product has ""Special Price"", or enabled attribute ""Special Offers"" on product price tab", "Показ товарів, якщо у товара є ""Спеціальна ціна"", або ввімкнути атрибут  "Спеціальна пропозиція" на вкладці ціни продукту"
"Select by Attribute or Source Category", "Выбір по атрибутам або основної категорії"
"Attribute name - ""Hit of Sales"" in each product", "им'я атрибута - ""Хіти продажу"" в кожному товарі"
"by Attribute", "по атрибуту"
"in Categories", "в категоріях"
"by Attribute in Categories", "по атрибуту в категоріях"
"Product BreakPoints View Mini-Slider", "Кількість товарів в слайдері (половина ширини екрана) при різних роздільних здатностях екрану"
"Product BreakPoints View", "Кількість товарів в слайдері (на усю ширину экрана) при різних роздільних здатностях екрану"
"from sales reports", "із звітів продаж"
"set level depth of catalog category, save for update", "встановити рівень глибини каталога категорії (збережіть для оновлення)"
"Banners Settings", "Налаштування банерів"
"Sliders Settings", "Налаштування слайдерів"
"no margin, no padding in grid", "без відступів по краях та поміж банерів"
"Banners Slim Mode", "Плаский вид банерів"
"Hits Of Sales Products", "Хіти продажів"
"Hits Of Sales", "Хіти продажів"
"Regular only", "Звичайний"
"Regular and Mobile(Pad)", "Звичайний та Мобільний(планшет)"
"Regular and Mobile(Phone and Pad)", "Звичайний та Мобільний(телефон та планшет)"
"Slideshow Settings", "Налаштування слайдшоу"
"Mode", "Режим"
"Full Width Homepage", "Повна ширина домашньої сторінки"
