"",""
"Action","Дія"
"Add Contact","Додати контакт"
"Add New Contact Attribute","Додати новий атрибут контакта"
"Additional Text","Додатковий текст"
"An error occurred while updating the contacts.","Помилка сталася під час оновлення контактів."
"Are you sure?","Ви впевнені?"
"Attribute ""%s"" is required.","Атрибут ""%s"" обов'язковий."
"Attribute Information","Информація атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Помилковий код атрибута. Будь ласка, використовуйте тільки літери (а-я), числа (0-9) або нижнє підкреслювання(_) в цьому полі, першим символом має бути літера."
"Attributes","Атрибути"
"CSV","CSV"
"Change Show In Footer","Змінити вид футера"
"Change Show in Header","Змінити вид хедера"
"Change status","Змінити статус"
"Contact Information","Контактна інформація"
"Contact was saved","Контакт був збережений"
"Contact was successfully deleted.","Контакт був вдало видалений."
"Contact was successfully saved","Контакт був вдало збережений"
"Contact","Контакт"
"Contacts","Контакти"
"Could not find contact to delete.","Неможливо знайти контакт для видалення."
"Created at","Створений в"
"Declare attribute value saving scope","Оголосіть значення атрибута зберегаючи об'єм"
"Default Values","Значення за замовчуванням"
"Delete Contact Attribute","Видалити атрибут контакта"
"Delete Contact","Видалили контакт"
"Delete File","Видалити файл"
"Delete","Видалити"
"Disabled","Неактивний"
"Edit Contact '%s'","Редагувати контакт '%s'"
"Edit Contact Attribute ""%s""","Редагувати атрибут контакта ""%s"""
"Edit Contact Attribute","Редагувати атрибут контакта"
"Edit","Редагувати"
"Enable WYSIWYG","Активувати WYSIWYG"
"Enabled","Активувати"
"Error saving contact","Помилка при збереженні контакта"
"Excel","Excel"
"File","Файл"
"Frontend Properties","Властивості фронтенда"
"Global","Глобально"
"Home","Домашня"
"Id","Id"
"Image","Зображення"
"Manage Attributes","Керування атрибутами"
"Manage Contact Attributes","Керування атрибутами контактів"
"Manage Label / Options","Керування лейбою / Опції"
"New Contact Attribute","Новий атрибут контакта"
"No","Ні"
"None","Жодної"
"Note","Примітка"
"Phone Details","Деталі телефона"
"Phone","Телефон"
"Please select contacts to delete.","Будь ласка, оберіть контакти для видалення."
"Please select contacts.","Будь ласка, оберіть контакти."
"Position in the admin form","Позиція в адмін формі"
"Position","Позиція"
"Properties","Властивості"
"Reset","Скинути"
"Save And Continue Edit","Зберегти та продовжити редагування"
"Save Contact Attribute","Зберегти атрибут контакта"
"Save Contact","Зберегти контакт"
"Scope","Об'єм"
"Show In Footer","Показати в футері"
"Show in Header","Показати в хедері"
"Status","Статус"
"Store View","Перегляд магазина"
"Store views","Перегляди магазина"
"Text to appear below the input.","Текст, який з'явився нижче інпута."
"The contact attribute has been deleted.","Атрибут контакта був видалений."
"The contact attribute has been saved.","Атрибут контакта був збережений."
"The contacts has been deleted.","Контакти були видалені."
"There was a problem saving the contact.","Сталася проблема при збереженні контакта."
"There was an error deleting contact.","Сталася помилка при видаленні контакта."
"There was an error deleting contacts.","Сталася помилка при видаленні контактів."
"There was an error updating contacts.","Сталася помилка при оновленні контактів."
"This attribute cannot be deleted.","Неможливо видалити цей атрибут."
"This attribute cannot be updated.","Неможливо оновити цей атрибут."
"This attribute is not deletable","Неможливо видалити цей атрибут"
"This attribute no longer exists","Цей атрибут більше не існує"
"This contact attribute cannot be edited.","Цей атрибут контакта неможливо відредагувати."
"This contact attribute no longer exists","Цей атрибут контакта більше не існує"
"This contact no longer exists.","Цей контакт більше не існує."
"Title","Назва"
"Total of %d contacts were successfully deleted.","Разом  %d контактів вдало видалено."
"Total of %d contacts were successfully updated.","Разом  %d контактів вдало оновлено."
"Total of %d record(s) have been deleted.","Разом  %d запис(ів) було вдало видалено."
"Total of %d record(s) have been updated.","Разом %d запис(ів) вдало оновлено."
"Unable to find an attribute to delete.","Неможливо знайти атрибут для видалення."
"Unable to find contact to save.","Неможливо знайти контакт для збереження."
"Updated at","Оновлено в"
"WYSIWYG Editor","WYSIWYG редактор"
"Website","Вебсайт"
"XML","XML"
"Yes","Так"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"Mobile Operator Icon", "Іконка мобільного оператора"
"recommended 40x40 PNG picture", "рекомендовано 40x40 PNG зображення"
"Our Contacts and CallBack", "Наши контакти та зворотній зв'язок"
"Setup blocks positions", "Встановити позиції блоків"
"set block position in header, where to show callback and phones list", "Встановити позицію блока в хедері, де показувати зворотній зв'язок та список телефонів"
"Header CallBack and Contacts positions", "Зворотній зв'язок у хедері та позиція контактів"
"Our Contacts", "Наши контакти"
