"",""
"Action","Дія"
"Add Banner","Додати банер"
"Add New Banner Attribute","Додати новий атрибут банера "
"An error occurred while updating the banners.","Помилка сталася під час оновлення банерів."
"Are you sure?","Ви впевнені?"
"Associated products","Зв'язані товари"
"Attribute ""%s"" is required.","Атрибут ""%s"" обов'язковий"
"Attribute Information","Інформація атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Невірний код атрибута. Будь ласка, використовуйте тільки літери (а-я), числа (0-9) або нижнє підкреслення(_) в цьому полі, першим символом має бути літера."
"Attributes","Атрибути"
"Banner Information","Інформація банера"
"Banner was saved","Банер був збережений"
"Banner was successfully deleted.","Банер вдало видалений"
"Banner was successfully saved","Банер вдало збережений"
"Banner","Банер"
"Banners","Банери"
"CSV","CSV"
"Change status","Змінити статус"
"Could not find banner to delete.","Неможливо знайти банер для видалення"
"Created at","Створено в"
"Declare attribute value saving scope","Оголосити значення атрибута, зберігаючи об'єм"
"Decription","Опис"
"Default Values","Значення за замовчуванням"
"Delete Banner Attribute","Видалити атрибут банера"
"Delete Banner","Видалити банер"
"Delete File","Видалити файл"
"Delete","Видалити"
"Disabled","Неактивний"
"Edit Banner '%s'","Редагувати банер '%s'"
"Edit Banner Attribute ""%s""","Редагувати атрибут банера ""%s"""
"Edit Banner Attribute","Редагувати атрибут банера"
"Edit","Редагувати"
"Enable WYSIWYG","Активувати WYSIWYG"
"Enabled","Активувати"
"Error saving banner","Помилка яка сталася при збереженні банера"
"Excel","Excel"
"File","Файл"
"Frontend Properties","Фронтенд властивості"
"Global","Глобально"
"Home","Home"
"Id","Id"
"Image","Зображення"
"Manage Attributes","Керування атрибутами"
"Manage Banner Attributes","Керування атрибутами банера"
"Manage Label / Options","Керування лейбою / Опції"
"New Banner Attribute","Новий атрибут банера"
"No","Ні"
"None","Жодної"
"Note","Примітка"
"Please select banners to delete.","Будь ласка, оберіть банери для видалення."
"Please select banners.","Будь ласка, оберіть банеры."
"Position in the admin form","Позиція в адмін формі"
"Position","Позиція"
"Properties","Властивості"
"Redirect URL","Редирект URL"
"Reset","Скинути"
"Save And Continue Edit","Зберегти та продовжити редагування"
"Save Banner Attribute","Зберегти атрибут банера"
"Save Banner","Зберегти банер"
"Scope","Об'єм"
"Status","Статус"
"Store View","Перегляд магазина"
"Store views","Перегляди магазина"
"Text to appear below the input.","Текст, що з'явився нижче інпута"
"The banner attribute has been deleted.","Атрибут банера вдало видалений"
"The banner attribute has been saved.","Атрибут банера вдало збережений."
"The banners has been deleted.","Банери були видалені"
"There was a problem saving the banner.","Сталася проблема при збереженні банера."
"There was an error deleting banner.","Сталася помилка при видаленні банера."
"There was an error deleting banners.","Сталася помилка при видаленні банерів."
"There was an error updating banners.","Сталася помилка при оновленні банера."
"This attribute cannot be deleted.","Неможливо видалити цей атрибут."
"This attribute cannot be updated.","Неможливо оновити цей атрибут."
"This attribute is not deletable","Неможливо видалити цей атрибут"
"This attribute no longer exists","Цей атрибут більше не існує"
"This banner attribute cannot be edited.","Цей атрибут банера неможливо редагувати."
"This banner attribute no longer exists","Цей атрибут банера більше не існує"
"This banner no longer exists.","Цей банер більше не існує."
"Title","Назва"
"Total of %d banners were successfully deleted.","Разом %d банерів вдало видалено."
"Total of %d banners were successfully updated.","Разом %d банерів вдало оновлено."
"Total of %d record(s) have been deleted.","Разом %d записів вдало видалено."
"Total of %d record(s) have been updated.","Разом %d записів оновлено."
"Unable to find an attribute to delete.","неможливо знайти атрибут для видалення"
"Unable to find banner to save.","Неможливо знайти банер для збереження."
"Updated at","Оновлен в"
"Use Breadcrumbs","Використовувати бредкрамбс"
"WYSIWYG Editor","WYSIWYG редактор"
"Website","Вебсайт"
"XML","XML"
"Yes","Так"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"
"show as Alt if not empty","показувати як Alt якщо не пусте"
"Product Banners", "Банери для товарів"
