"", ""
"VKontakte", "ВКонтакті"
"Facebook", "Facebook"
"Google Plus", "Google Plus"
"Twitter", "Twitter"
"Youtube", "Youtube"
"Mail.ru", "Mail.ru"
"Odnoklassniki", "Однокласники"
"Moi Krug", "Мій круг"
"Vimeo", "Vimeo"
"Instagram", "Instagram"
"Pinterest", "Pinterest"
"LinkedIn", "LinkedIn"
"RenRen", "RenRen"
"Flickr", "Flickr"
"Tumblr", "Tumblr"
"Blogger", "Blogger"
"Social Icon Border", "Рамка іконок соціальних мереж"
"Value in pixels.", "Значення в пікселях"
"Product Image Border Color", "Колір рамки зображення товара"
"Price Slider Element Outer Selection Line Color", "Колір зовнішньої лінії слайдера ціни"
"Price Slider Element Inner Selection Line Color", "Колір внутрішньої лінії слайдера ціни"
"Price Slider Handle Color", "Колір повзунка слайдера ціни"
"Price Slider Handle Background Color", "Колір фона повзунка слайдера ціни"
"round", "круглі"
"square", "квадратні"
"Social Links View Type", "Зовнішній вигляд іконок"
"in Newsletter Block", "на блоці ""Підписки на новини"" "
"in Information Pages Block", "на блоці ""Інформаційні сторінки"" (футер)"
"in About Us Block", "на блоці ""Про нас"" (футер)"
"Social Account Settings", "Налаштування соціальних акаунтів"
"View Type", "Тип відображення"
"Position", "Позиція"
"Use Designed Account Icons", "Використовувати дизайнерські іконки акаунта"
"Products Sliders", "Слайдер товарів"
"Number of Products in Slider", "Кількість товарів у слайдері"
"Value in etc. From 1 to 100", "Кількість в од. від 1 до 100"
"Breakpoints", "Налаштування виведення кількості"
"Assign number of items in a row to specific viewport width. in default: '[0, 1], [320, 2], [480, 3], [768, 4], [960, 5], [1280, 6]'", "Призначити кількість товарів в рядку для певних роздільних здатностей екранів. за замовчуванням: '[0, 1], [320, 2], [480, 3], [768, 4], [960, 5], [1280, 6]'"
"Responsive", "Адаптивне відображення"
"Show Items Number", "Показувана кількість товарів"
"Number of items in a row displayed if responsive mode is off. Value in etc. from 1 to 100", "Показувана кількість товарів в рядку, якщо адаптивне відображення вимкнено. Значення в од. від 1 до 100"
"Keep Aspect Ratio", "Зберегти співвідношення розміру зображення"
"if Yes, you may set Width image only", "якщо Так, то задається тільки ширина зображення"
"Image Width", "Ширина зображення"
"Value in pixels", "Значення в пікселях"
"Image Height", "Висота зображення"
"Init Delay", "Затримка відображення"
"Value in milliseconds. From 1 to 100000", "Значення в мілісекундах. Від 1 до 100000"
"Pagination", "Посторінковий вивід"
"Pagination on/off", "ввімк/вимк"
"Random Output", "Випадковий порядок відображення"
"show in random order", "показувати товари в випадковому порядку"
"Hide Buttons", "Приховати кнопки"
"Hide 'buy'/'details'", "Приховати Купити/Детальніше"
"Move", "Рух"
"Number of items that should move on scrolling. From 1 to 10", "Кількість товарів, на яку буде зміщуватись слайдер. Від 1 до 10"
"Loop", "Цикл"
"If set, slider will loop", "якщо Так, то слайдер буде показувати по кругу"
"Timeout", "Таймер"
"Slider timeout. Set to enable automatic scrolling. Value in milliseconds.", "Таймер автопереключення. Встановити для автопереключення. Значення в мілісекундах. 0 - вимкнено."
"Scrolling Speed", "Швидкість прокрутки"
"Speed (arrows / touch swipe). in milliseconds from 0 to 100000", "Швидкість (стрілками / гортання сенсором). в мілісекундах від 0 до 100000"
"Auto Scrolling Speed", "Швидкість автогортання"
"Speed (automatic scrolling / pagination). in milliseconds from 0 to 100000", "Швидкість (автогортання / посторінкове гортання). в мілісекундах від 0 до 100000"
"Pause", "Пауза"
"Pause slider on mouse hover", "Пауза гортання при наведенні на слайдер"
"Lazy Image Loading", "Підвантаження зображень"
"Load image only if need to show it to user", "Завантажує зображення, тільки при необхідності показа їх користувачу"
"Centered", "Відцентровано"
"Equal Height", "Вирівнювання по висоті"
"Labels Font Size", "Розмір шрифта ярликів"
"Labels Font Size on Product Sliders", "Розмір шрифта ярликів на слайдерах продуктів"
"Labels Font Size (Grid View)", "Розмір шрифта ярликів (Вид плиткою)"
"Labels Font Size (List View)", "Розмір шрифта ярликів (Вид списком)"
"Labels", "Ярлики"
"Value in pixels. From 1 to 50 px", "Значення в пікселях від 1 до 50"
"Price Slider on Layered Navigation", "Слайдер ціни на сторінці навігації"
"Site Settings", "Налаштування сайта"
"Menus and Pages", "Меню та Сторінки"
"HomePage Content", "Головна сторінка (вміст)"
"Include in Footer Menu", "Відображати в меню футера"
"Category Title H1", "Назва категорії <H1>"
"Category Banner", "Банер категорії"
"Other Settings", "Інші налаштування"
"Show National Flags on Switchers", "Показувати національні прапори у перемикачі мов"
"Show Language Code (ISO 3166-1)", "Показувати коди (ISO 3166-1) у перемикачі мов"
"Cart", "Кошик"
"We at social networks", "Ми в соц мережах"
"Developed by", "Розроблено в"
"New products", "Новинки"
"All news", "Всi новинки"
