" - Edit"," - Edit"
"",""
"Action", "Дія"
"Add Child Post Category","Додати дитячу категорію постів"
"Add New Post Attribute","Додати новий атрибут поста"
"Add New Post Category Attribute","Додати новий атрибут категорії поста"
"Add Post Category","Додати категорію поста"
"Add Post","Додати пост"
"Add Root Post Category","Додати кореневу категорію постів"
"Allow Comments","Дозволити Коментарі"
"Allow comments","Дозволити коментарі"
"Allow guest comments","Дозволити коментувати гостям"
"An error occurred while trying to delete the post category.","Сталася помилка під час спроби видалити категорію поста."
"An error occurred while updating the post categories.","Помилка під час оновлення категорій постів."
"An error occurred while updating the posts.","Помилка під час оновлення постів."
"Approved","Підтверджений"
"Archived","Архівний"
"Are you sure?","Ви впевнені?"
"Associated categories","Зв'язані категорії"
"Associated products","Зв'язані товари"
"Attribute ""%s"" is required.","Атрибут ""%s"" необхідний."
"Attribute Information","Інформація атрибута"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Невірний код атрибута. Будь ласка, використовуйте лише літери (а-я), числа (0-9) або нижнє підкреслення(_) у цьому полі, першою має бути літера."
"Attributes","Атрибути"
"Author","Автор"
"AutoArchive Posts","Автоархів постів"
"CSV","CSV"
"Can't delete root post category.","Неможливо видалити кореневу категорію поста."
"Change Archived","Змінити архів"
"Change AutoArchive Posts","Змінити автоархів постів"
"Change Post Category","Змінити категорію поста"
"Change Show on Homepage","Змінити відображення на головній сторінці"
"Change status","Змінити статус"
"Collapse All","Закрити все"
"Comment can't be empty","Коментар не може бути порожнім"
"Comment title can't be empty","Назва коментаря не може бути порожньою"
"Comment was successfully deleted.","Коментар вдало видалений."
"Comment was successfully saved","Коментар вдало збережений"
"Comment","Коментар"
"Comments","Коментарі"
"Could not find comment to delete.","Неможливо знайти коментар для видалення."
"Could not find post category to delete.","Неможливо знайти категорію поста для видалення."
"Could not find post to delete.","Неможливо знайти пост для видалення."
"Created at","Створено"
"Customer profile","Профіль користувача"
"Declare attribute value saving scope","Оголосіть значення атрибута економії об'єму"
"Default Values","Значення за замовчуванням"
"Delete File","Видалити файл"
"Delete Post Attribute","Видалити атрибут поста"
"Delete Post Category Attribute","Видалити атрибут категорії поста"
"Delete Post Category","Видалити категорію поста"
"Delete Post comment","Видалити коментар поста"
"Delete Post","Видалити пост"
"Delete","Видалити"
"Description","Опис"
"Disabled","Невидимий"
"Display as tree","Відобразити як дерево"
"Edit Post '%s'","Редагувати пост '%s'"
"Edit Post Attribute ""%s""","Редагувати атрибут поста ""%s"""
"Edit Post Attribute","Редагувати атрибут поста"
"Edit Post Category '%s'","Редагувати категорію поста '%s'"
"Edit Post Category Attribute ""%s""","Редагувати атрибут категорії поста ""%s"""
"Edit Post Category Attribute","Редагувати атрибут категорії поста"
"Edit Post comment '%s'","Редагувати коментар до поста '%s'"
"Edit","Редагувати"
"Enable WYSIWYG","Видимий WYSIWYG"
"Enable rss","Видимий rss"
"Enabled","Видимий"
"Error saving post category","Помилка при збереженні категорії поста"
"Error saving post","Помилка при збереженні поста"
"Excel","Excel"
"Expand All","Розширити все"
"File","Файл"
"Frontend Properties","Властивості фронтенда"
"Global","Глобально"
"Guest comments are not allowed","Гість не має права коментувати"
"Header Text","Текст хедера"
"Home","Головна"
"ID: %s","ID: %s"
"Id","Id"
"Image","Зображення"
"Label","Мітка"
"Leave empty for no prefix","Залиште порожнім без префікса"
"Leave empty to use default URL module/controller/action","Залиште поле порожнім, щоб використовувати URL за замовчуванням module/controller/action"
"Levels to show (0 for all)","Рівні для відображення (0 для всіх)"
"Manage Attributes","Керування атрибутами"
"Manage Label / Options","Керування мітками / Опціями"
"Manage Post Attributes","Керування атрибутами поста"
"Manage Post Categories","Керування категоріями поста"
"Manage Post Category Attributes","Керування атрибутами категорії поста"
"Manual Author Name","Ім'я автора"
"Manual Posts Days to Archived Status Set","Manual Posts Days to Archived Status Set"
"Meta description for post categories list page","Meta опис для списка сторінок категорій поста"
"Meta description for posts list page","Meta опис для списка сторінок постів"
"Meta information","Meta інформація"
"Meta keywords for post categories list page","Meta ключові слова для списка сторінок категорій поста"
"Meta keywords for posts list page","Meta ключові слова для списка сторінок постів"
"Meta title for post categories list page","Meta назва для списка сторінок категорій поста"
"Meta title for posts list page","Meta назва для списка сторінок постів"
"Meta","Meta"
"Meta-description","Meta-опис"
"Meta-keywords","Meta-ключові слова"
"Meta-title","Meta-назва"
"My Post Comments","Мої коментарі до постів"
"My Posts comment view","Перегляд моїх коментарів до постів"
"New Before","Новий до"
"New From","Новий від"
"New Post Attribute","Новий атрибут поста"
"New Post Category Attribute","Новий атрибут категорії"
"New Post Category","Нова категорія"
"New Root Post Category","Нова головна категорія"
"No","Ні"
"None","Не"
"Note","Примітка"
"On %s you wrote:","На %s Ви написали:"
"Pending","В очікуванні"
"Placeholder Image","Зображення за замовчуванням"
"Please select comments to delete.","Будь ласка, виберіть коментарі для видалення"
"Please select comments.","Будь ласка, виберіть коментарі"
"Please select post categories to delete.","Будь ласка, виберіть категорії постів для видалення"
"Please select post categories.","Будь ласка, виберіть категорії постів"
"Please select posts to delete.","Будь ласка, виберіть пости для видалення"
"Please select posts.","Будь ласка, виберіть пости"
"Position in the admin form","Позиція в адмін формі"
"Position","Позиція"
"Post Categories","Категорії постів"
"Post Category Information","Информація категорії"
"Post Category move error","Помилка переміщення категорії"
"Post Category move operation is not possible: parent post category is equal to child post category.","Переміщення категорії неможливе: батьківська категорія є еквівалентною до дитячої категорії."
"Post Category move operation is not possible: the current post category was not found.","Переміщення категорії неможливе: поточна категорія не знайдена."
"Post Category move operation is not possible: the new parent post category was not found.","Переміщення категорії неможливе: нова батьківська категорія не знайдена."
"Post Category subtree widget","Віджет піддерева категорії"
"Post Category subtree","Піддерево категорії"
"Post Category was saved","Категорія була збережена"
"Post Category was successfully deleted.","Категорія вдало видалена."
"Post Category was successfully saved","Категорія вдало збережена"
"Post Category","Категорія"
"Post Comment","Коментар"
"Post Comments","Коментарі"
"Post Content","Вміст поста"
"Post Date","Дата поста"
"Post Image","Зображення поста"
"Post Information","Інформація поста"
"Post comment","Коментар"
"Post was saved","Пост збережено"
"Post was successfully deleted.","Пост вдало видалено"
"Post was successfully saved","Пост вдало збережено"
"Post", "Пост"
"Poster e-mail","E-mail постера"
"Poster name","Ім'я постера"
"Posts", "Пости"
"Preview Content","Контент попереднього перегляду"
"Preview Image","Зображення попереднього перегляду"
"Properties", "Властивості"
"Recursion level","Рекурсивний рівень"
"Rejected", "Відхилено"
"Relative to Website Base URL","Щодо базового URL сайта"
"Reset", "Зкинути"
"Root", "Головна"
"Save And Continue Edit","Зберегти та продовжити редагування"
"Save Post Attribute","Зберегти атрибут поста"
"Save Post Category Attribute","Зберегти атрибут поста категорії"
"Save Post Category","Зберегти категорію"
"Save Post comment","Зберегти коментар"
"Save Post","Зберегти пост"
"Scope","Область видимості"
"Select Post Category","Оберіть категорію"
"Short Description","Короткий опис"
"Show in rss","Показати в rss"
"Show on Homepage","Показати на головній сторінці"
"Status", "Статус"
"Store View","Перегляд магазина"
"Store views","Перегляди магазина"
"Text to appear below the input.","Текст, що з'являється під полем введення."
"The URL key cannot consist only of numbers.","Ключ URL не може складатися тільки з цифр."
"The URL key contains capital letters or disallowed symbols.","Ключ URL містить прописні букви або недозволені символи."
"The post attribute has been deleted.","Атрибут поста було видалено."
"The post attribute has been saved.","Атрибут поста було збережено."
